system:time_start,Evap_tavg
"Jan 1, 2000",0
"Feb 1, 2000",0
"Mar 1, 2000",0
"Apr 1, 2000",0
"May 1, 2000",0
"Jun 1, 2000",0
"Jul 1, 2000",0
"Aug 1, 2000",0
"Sep 1, 2000",0
"Oct 1, 2000",0
"Nov 1, 2000",0
"Dec 1, 2000",0
"Jan 1, 2001",0
"Feb 1, 2001",0
"Mar 1, 2001",0
"Apr 1, 2001",0
"May 1, 2001",0
"Jun 1, 2001",0
"Jul 1, 2001",0
"Aug 1, 2001",0
"Sep 1, 2001",0
"Oct 1, 2001",0
"Nov 1, 2001",0
"Dec 1, 2001",0
"Jan 1, 2002",0
"Feb 1, 2002",0
"Mar 1, 2002",0
"Apr 1, 2002",0
"May 1, 2002",0
"Jun 1, 2002",0
"Jul 1, 2002",0
"Aug 1, 2002",0
"Sep 1, 2002",0
"Oct 1, 2002",0
"Nov 1, 2002",0
"Dec 1, 2002",0
"Jan 1, 2003",0
"Feb 1, 2003",0
"Mar 1, 2003",0
"Apr 1, 2003",0
"May 1, 2003",0
"Jun 1, 2003",0
"Jul 1, 2003",0
"Aug 1, 2003",0
"Sep 1, 2003",0
"Oct 1, 2003",0
"Nov 1, 2003",0
"Dec 1, 2003",0
"Jan 1, 2004",0
"Feb 1, 2004",0
"Mar 1, 2004",0
"Apr 1, 2004",0
"May 1, 2004",0
"Jun 1, 2004",0
"Jul 1, 2004",0
"Aug 1, 2004",0
"Sep 1, 2004",0
"Oct 1, 2004",0
"Nov 1, 2004",0
"Dec 1, 2004",0
"Jan 1, 2005",0
"Feb 1, 2005",0
"Mar 1, 2005",0
"Apr 1, 2005",0
"May 1, 2005",0
"Jun 1, 2005",0
"Jul 1, 2005",0
"Aug 1, 2005",0
"Sep 1, 2005",0
"Oct 1, 2005",0
"Nov 1, 2005",0
"Dec 1, 2005",0
"Jan 1, 2006",0
"Feb 1, 2006",0
"Mar 1, 2006",0
"Apr 1, 2006",0
"May 1, 2006",0
"Jun 1, 2006",0
"Jul 1, 2006",0
"Aug 1, 2006",0
"Sep 1, 2006",0
"Oct 1, 2006",0
"Nov 1, 2006",0
"Dec 1, 2006",0
"Jan 1, 2007",0
"Feb 1, 2007",0
"Mar 1, 2007",0
"Apr 1, 2007",0
"May 1, 2007",0
"Jun 1, 2007",0
"Jul 1, 2007",0
"Aug 1, 2007",0
"Sep 1, 2007",0
"Oct 1, 2007",0
"Nov 1, 2007",0
"Dec 1, 2007",0
"Jan 1, 2008",0
"Feb 1, 2008",0
"Mar 1, 2008",0
"Apr 1, 2008",0
"May 1, 2008",0
"Jun 1, 2008",0
"Jul 1, 2008",0
"Aug 1, 2008",0
"Sep 1, 2008",0
"Oct 1, 2008",0
"Nov 1, 2008",0
"Dec 1, 2008",0
"Jan 1, 2009",0
"Feb 1, 2009",0
"Mar 1, 2009",0
"Apr 1, 2009",0
"May 1, 2009",0
"Jun 1, 2009",0
"Jul 1, 2009",0
"Aug 1, 2009",0
"Sep 1, 2009",0
"Oct 1, 2009",0
"Nov 1, 2009",0
"Dec 1, 2009",0
"Jan 1, 2010",0
"Feb 1, 2010",0
"Mar 1, 2010",0
"Apr 1, 2010",0
"May 1, 2010",0
"Jun 1, 2010",0
"Jul 1, 2010",0
"Aug 1, 2010",0
"Sep 1, 2010",0
"Oct 1, 2010",0
"Nov 1, 2010",0
"Dec 1, 2010",0
"Jan 1, 2011",0
"Feb 1, 2011",0
"Mar 1, 2011",0
"Apr 1, 2011",0
"May 1, 2011",0
"Jun 1, 2011",0
"Jul 1, 2011",0
"Aug 1, 2011",0
"Sep 1, 2011",0
"Oct 1, 2011",0
"Nov 1, 2011",0
"Dec 1, 2011",0
"Jan 1, 2012",0
"Feb 1, 2012",0
"Mar 1, 2012",0
"Apr 1, 2012",0
"May 1, 2012",0
"Jun 1, 2012",0
"Jul 1, 2012",0
"Aug 1, 2012",0
"Sep 1, 2012",0
"Oct 1, 2012",0
"Nov 1, 2012",0
"Dec 1, 2012",0
"Jan 1, 2013",0
"Feb 1, 2013",0
"Mar 1, 2013",0
"Apr 1, 2013",0
"May 1, 2013",0
"Jun 1, 2013",0
"Jul 1, 2013",0
"Aug 1, 2013",0
"Sep 1, 2013",0
"Oct 1, 2013",0
"Nov 1, 2013",0
"Dec 1, 2013",0
"Jan 1, 2014",0
"Feb 1, 2014",0
"Mar 1, 2014",0
"Apr 1, 2014",0
"May 1, 2014",0
"Jun 1, 2014",0
"Jul 1, 2014",0
"Aug 1, 2014",0
"Sep 1, 2014",0
"Oct 1, 2014",0
"Nov 1, 2014",0
"Dec 1, 2014",0
"Jan 1, 2015",0
"Feb 1, 2015",0
"Mar 1, 2015",0
"Apr 1, 2015",0
"May 1, 2015",0
"Jun 1, 2015",0
"Jul 1, 2015",0
"Aug 1, 2015",0
"Sep 1, 2015",0
"Oct 1, 2015",0
"Nov 1, 2015",0
"Dec 1, 2015",0
"Jan 1, 2016",0
"Feb 1, 2016",0
"Mar 1, 2016",0
"Apr 1, 2016",0
"May 1, 2016",0
"Jun 1, 2016",0
"Jul 1, 2016",0
"Aug 1, 2016",0
"Sep 1, 2016",0
"Oct 1, 2016",0
"Nov 1, 2016",0
"Dec 1, 2016",0
"Jan 1, 2017",0
"Feb 1, 2017",0
"Mar 1, 2017",0
"Apr 1, 2017",0
"May 1, 2017",0
"Jun 1, 2017",0
"Jul 1, 2017",0
"Aug 1, 2017",0
"Sep 1, 2017",0
"Oct 1, 2017",0
"Nov 1, 2017",0
"Dec 1, 2017",0
"Jan 1, 2018",0
"Feb 1, 2018",0
"Mar 1, 2018",0
"Apr 1, 2018",0
"May 1, 2018",0
"Jun 1, 2018",0
"Jul 1, 2018",0
"Aug 1, 2018",0
"Sep 1, 2018",0
"Oct 1, 2018",0
"Nov 1, 2018",0
"Dec 1, 2018",0
"Jan 1, 2019",0
"Feb 1, 2019",0
"Mar 1, 2019",0
"Apr 1, 2019",0
"May 1, 2019",0
"Jun 1, 2019",0
"Jul 1, 2019",0
"Aug 1, 2019",0
"Sep 1, 2019",0
"Oct 1, 2019",0
"Nov 1, 2019",0
"Dec 1, 2019",0
"Jan 1, 2020",0
"Feb 1, 2020",0
"Mar 1, 2020",0
"Apr 1, 2020",0
"May 1, 2020",0
"Jun 1, 2020",0
"Jul 1, 2020",0
"Aug 1, 2020",0
"Sep 1, 2020",0
"Oct 1, 2020",0
"Nov 1, 2020",0
"Dec 1, 2020",0
"Jan 1, 2021",0
"Feb 1, 2021",0
"Mar 1, 2021",0
"Apr 1, 2021",0
"May 1, 2021",0
"Jun 1, 2021",0
"Jul 1, 2021",0
"Aug 1, 2021",0
"Sep 1, 2021",0
"Oct 1, 2021",0
"Nov 1, 2021",0
"Dec 1, 2021",0
"Jan 1, 2022",0
"Feb 1, 2022",0
"Mar 1, 2022",0
"Apr 1, 2022",0
"May 1, 2022",0
"Jun 1, 2022",0
"Jul 1, 2022",0
"Aug 1, 2022",0
"Sep 1, 2022",0
"Oct 1, 2022",0
"Nov 1, 2022",0
"Dec 1, 2022",0
"Jan 1, 2023",0
"Feb 1, 2023",0
"Mar 1, 2023",0
"Apr 1, 2023",0
"May 1, 2023",0
"Jun 1, 2023",0
"Jul 1, 2023",0
"Aug 1, 2023",0
"Sep 1, 2023",0
"Oct 1, 2023",0
"Nov 1, 2023",0
"Dec 1, 2023",0
"Jan 1, 2024",0
"Feb 1, 2024",0
"Mar 1, 2024",0
"Apr 1, 2024",0
"May 1, 2024",0
"Jun 1, 2024",0
