system:time_start,precipitation
"Jan 1, 2000",52.424
"Feb 1, 2000",78.368
"Mar 1, 2000",95.192
"Apr 1, 2000",78.854
"May 1, 2000",124.403
"Jun 1, 2000",80.836
"Jul 1, 2000",73.724
"Aug 1, 2000",70.763
"Sep 1, 2000",115.385
"Oct 1, 2000",108.765
"Nov 1, 2000",83.986
"Dec 1, 2000",52.967
"Jan 1, 2001",25.132
"Feb 1, 2001",62.977
"Mar 1, 2001",83.862
"Apr 1, 2001",55.452
"May 1, 2001",117.758
"Jun 1, 2001",56.741
"Jul 1, 2001",56.315
"Aug 1, 2001",46.154
"Sep 1, 2001",83.274
"Oct 1, 2001",106.238
"Nov 1, 2001",91.51
"Dec 1, 2001",89.19
"Jan 1, 2002",28.326
"Feb 1, 2002",36.446
"Mar 1, 2002",121.932
"Apr 1, 2002",185.12
"May 1, 2002",132.149
"Jun 1, 2002",95.615
"Jul 1, 2002",65.597
"Aug 1, 2002",62.277
"Sep 1, 2002",72.873
"Oct 1, 2002",117.933
"Nov 1, 2002",61.543
"Dec 1, 2002",72.758
"Jan 1, 2003",20.15
"Feb 1, 2003",56.259
"Mar 1, 2003",104.878
"Apr 1, 2003",137.477
"May 1, 2003",69.258
"Jun 1, 2003",75.768
"Jul 1, 2003",66.1
"Aug 1, 2003",48.948
"Sep 1, 2003",79.565
"Oct 1, 2003",150.27
"Nov 1, 2003",131.659
"Dec 1, 2003",58.251
"Jan 1, 2004",31.062
"Feb 1, 2004",61.634
"Mar 1, 2004",57.793
"Apr 1, 2004",145.635
"May 1, 2004",144.311
"Jun 1, 2004",72.835
"Jul 1, 2004",73.12
"Aug 1, 2004",52.073
"Sep 1, 2004",83.845
"Oct 1, 2004",149.615
"Nov 1, 2004",118.157
"Dec 1, 2004",55.448
"Jan 1, 2005",44.101
"Feb 1, 2005",55.796
"Mar 1, 2005",53.894
"Apr 1, 2005",108.68
"May 1, 2005",182.672
"Jun 1, 2005",65.994
"Jul 1, 2005",58.526
"Aug 1, 2005",55.111
"Sep 1, 2005",77.234
"Oct 1, 2005",150.612
"Nov 1, 2005",124.71
"Dec 1, 2005",53.229
"Jan 1, 2006",51.797
"Feb 1, 2006",42.53
"Mar 1, 2006",124.964
"Apr 1, 2006",175.925
"May 1, 2006",138.26
"Jun 1, 2006",109.111
"Jul 1, 2006",58.107
"Aug 1, 2006",47.864
"Sep 1, 2006",49.012
"Oct 1, 2006",127.214
"Nov 1, 2006",128.669
"Dec 1, 2006",65.484
"Jan 1, 2007",33.798
"Feb 1, 2007",28.428
"Mar 1, 2007",88.012
"Apr 1, 2007",138.744
"May 1, 2007",105.808
"Jun 1, 2007",73.719
"Jul 1, 2007",49.38
"Aug 1, 2007",72.269
"Sep 1, 2007",41.038
"Oct 1, 2007",179.717
"Nov 1, 2007",94.938
"Dec 1, 2007",86.768
"Jan 1, 2008",56.794
"Feb 1, 2008",62.084
"Mar 1, 2008",87.046
"Apr 1, 2008",100.54
"May 1, 2008",179.309
"Jun 1, 2008",101.093
"Jul 1, 2008",91.819
"Aug 1, 2008",103.799
"Sep 1, 2008",67.518
"Oct 1, 2008",125.033
"Nov 1, 2008",181.51
"Dec 1, 2008",64.623
"Jan 1, 2009",70.905
"Feb 1, 2009",54.966
"Mar 1, 2009",123.024
"Apr 1, 2009",94.058
"May 1, 2009",82.051
"Jun 1, 2009",92.551
"Jul 1, 2009",55.365
"Aug 1, 2009",56.987
"Sep 1, 2009",56.516
"Oct 1, 2009",125.037
"Nov 1, 2009",91.438
"Dec 1, 2009",48.228
"Jan 1, 2010",21.308
"Feb 1, 2010",44.128
"Mar 1, 2010",53.609
"Apr 1, 2010",208.154
"May 1, 2010",174.986
"Jun 1, 2010",98.546
"Jul 1, 2010",134.989
"Aug 1, 2010",57.578
"Sep 1, 2010",86.113
"Oct 1, 2010",144.084
"Nov 1, 2010",202.156
"Dec 1, 2010",112.706
"Jan 1, 2011",43.525
"Feb 1, 2011",112.964
"Mar 1, 2011",139.685
"Apr 1, 2011",238.086
"May 1, 2011",166.582
"Jun 1, 2011",82.805
"Jul 1, 2011",74.44
"Aug 1, 2011",62.442
"Sep 1, 2011",70.611
"Oct 1, 2011",198.264
"Nov 1, 2011",209.323
"Dec 1, 2011",86.815
"Jan 1, 2012",64.225
"Feb 1, 2012",56.468
"Mar 1, 2012",116.303
"Apr 1, 2012",217.435
"May 1, 2012",81.912
"Jun 1, 2012",66.348
"Jul 1, 2012",94.168
"Aug 1, 2012",59.131
"Sep 1, 2012",43.249
"Oct 1, 2012",157.666
"Nov 1, 2012",81.016
"Dec 1, 2012",57.874
"Jan 1, 2013",30.637
"Feb 1, 2013",89.277
"Mar 1, 2013",83.056
"Apr 1, 2013",137.646
"May 1, 2013",150.368
"Jun 1, 2013",53.473
"Jul 1, 2013",61.649
"Aug 1, 2013",80.598
"Sep 1, 2013",65.519
"Oct 1, 2013",97.983
"Nov 1, 2013",180.295
"Dec 1, 2013",95.504
"Jan 1, 2014",65.402
"Feb 1, 2014",91.589
"Mar 1, 2014",91.448
"Apr 1, 2014",131.097
"May 1, 2014",134.518
"Jun 1, 2014",57.858
"Jul 1, 2014",38.404
"Aug 1, 2014",41.712
"Sep 1, 2014",86.959
"Oct 1, 2014",142.313
"Nov 1, 2014",118.505
"Dec 1, 2014",91.296
"Jan 1, 2015",59.801
"Feb 1, 2015",44.622
"Mar 1, 2015",132.098
"Apr 1, 2015",135.462
"May 1, 2015",45.453
"Jun 1, 2015",47.682
"Jul 1, 2015",48.58
"Aug 1, 2015",53.296
"Sep 1, 2015",67.01
"Oct 1, 2015",81.168
"Nov 1, 2015",126.584
"Dec 1, 2015",26.509
"Jan 1, 2016",39.39
"Feb 1, 2016",39.554
"Mar 1, 2016",87.324
"Apr 1, 2016",127.288
"May 1, 2016",137.438
"Jun 1, 2016",60.887
"Jul 1, 2016",80.399
"Aug 1, 2016",69.233
"Sep 1, 2016",78.775
"Oct 1, 2016",132.28
"Nov 1, 2016",154.926
"Dec 1, 2016",79.085
"Jan 1, 2017",60.241
"Feb 1, 2017",49.9
"Mar 1, 2017",154.036
"Apr 1, 2017",98.739
"May 1, 2017",139.262
"Jun 1, 2017",108.163
"Jul 1, 2017",49.05
"Aug 1, 2017",63.41
"Sep 1, 2017",60.962
"Oct 1, 2017",130.26
"Nov 1, 2017",153.974
"Dec 1, 2017",63.311
"Jan 1, 2018",53.405
"Feb 1, 2018",49.065
"Mar 1, 2018",92.015
"Apr 1, 2018",143.332
"May 1, 2018",149.634
"Jun 1, 2018",71.608
"Jul 1, 2018",64.696
"Aug 1, 2018",58.48
"Sep 1, 2018",65.519
"Oct 1, 2018",164.213
"Nov 1, 2018",121.841
"Dec 1, 2018",22.325
"Jan 1, 2019",39.418
"Feb 1, 2019",66.552
"Mar 1, 2019",104.692
"Apr 1, 2019",116.354
"May 1, 2019",127.871
"Jun 1, 2019",72.055
"Jul 1, 2019",57.911
"Aug 1, 2019",45.488
"Sep 1, 2019",75.768
"Oct 1, 2019",132.003
"Nov 1, 2019",123.463
"Dec 1, 2019",67.799
"Jan 1, 2020",41.919
"Feb 1, 2020",69.307
"Mar 1, 2020",72.767
"Apr 1, 2020",80.401
"May 1, 2020",96.232
"Jun 1, 2020",103.378
"Jul 1, 2020",108.164
"Aug 1, 2020",81.843
"Sep 1, 2020",71.493
"Oct 1, 2020",85.353
"Nov 1, 2020",188.374
"Dec 1, 2020",52.564
"Jan 1, 2021",34.599
"Feb 1, 2021",81.547
"Mar 1, 2021",90.667
"Apr 1, 2021",176.199
"May 1, 2021",107.05
"Jun 1, 2021",132.869
"Jul 1, 2021",69.138
"Aug 1, 2021",92.886
"Sep 1, 2021",63.958
"Oct 1, 2021",158.446
"Nov 1, 2021",99.009
"Dec 1, 2021",98.856
"Jan 1, 2022",39.171
"Feb 1, 2022",102.866
"Mar 1, 2022",84.336
"Apr 1, 2022",187.004
"May 1, 2022",159.338
"Jun 1, 2022",144.939
"Jul 1, 2022",92.98
"Aug 1, 2022",69
"Sep 1, 2022",95.352
"Oct 1, 2022",294.318
"Nov 1, 2022",169.642
"Dec 1, 2022",43.032
"Jan 1, 2023",107.916
"Feb 1, 2023",55.654
"Mar 1, 2023",168.813
"Apr 1, 2023",158.877
"May 1, 2023",114.817
"Jun 1, 2023",61.961
"Jul 1, 2023",78.4
"Aug 1, 2023",65.641
"Sep 1, 2023",51.4
"Oct 1, 2023",125.277
"Nov 1, 2023",88.391
"Dec 1, 2023",77.396
"Jan 1, 2024",18.074
"Feb 1, 2024",57.463
"Mar 1, 2024",57.198
"Apr 1, 2024",130.592
"May 1, 2024",135.769
"Jun 1, 2024",114.282
